Year,PowerDensity,CapacityDensity,TurbineDensity,Province
2018,480.7259452,1.221898471,0.39305825,QC
2011,509.1977602,2.641560553,1.761040368,QC
2012,453.5089774,1.187598282,0.516347079,QC
2015,488.827296,2.265213665,1.132606832,QC
2017,442.5160682,0.688705234,1.377410468,ON
2019,310.8627898,1.54146542,0.411057445,BC
2015,530.2215578,1.37149672,0.596302922,SK
2012,337.0419426,1.203369434,0.601684717,ON
2014,633.2470143,0.858918129,0.365497076,NS
2015,545.8825235,0.779912498,0.380445121,ON
2015,258.2671621,1.347368421,0.842105263,NS
2012,339.3311675,2.340917723,1.139384732,QC
2016,358.8707949,0.731284676,0.244821392,ON
2018,613.5426988,1.607688227,0.465996587,QC
2015,375.4074616,0.830737279,0.41536864,NS
2015,400.2343245,1.212121212,0.609106137,NS
2018,525.9518789,0.707518802,0.240556393,ON
2010,492.420899,3.327196213,1.446607049,NS
2007,340.1285503,2.566756365,1.138480646,AB
2001,359.7207925,0.855106888,0.475059382,ON
2014,617.7460895,1.307759372,0.653879686,ON
2013,471.0032839,0.610804174,0.306936771,NS
2017,429.243316,2.106741573,0.702247191,BC
2017,510.5415582,0.584581659,0.365363537,NS
2016,377.9803511,1.710233593,0.834260289,QC
2012,428.1144058,0.658922296,0.439281531,ON
2015,610.5949588,0.87962963,0.462962963,NS
2010,533.8582448,2.745334136,1.444912703,NS
2017,481.7483836,1.175503096,0.653057276,ON
2001,515.7062968,0.909090909,1.377410468,ON
2008,612.0025807,1.65329761,0.718825048,ON
2013,526.23301,1.266406269,0.703559038,ON
2016,574.389151,1.375515818,0.550206327,ON
2016,341.6300066,1.054063244,0.680040802,NS
2006,402.7719054,3.581987719,2.387991813,ON
2009,566.0005975,1.266794626,0.767754319,ON
2007,330.15169,1.56555773,1.956947162,ON
2005,716.7225233,4.214295552,2.341275306,NS
2012,167.5709176,1.645585734,0.914214296,BC
2015,595.2848408,0.82972583,0.360750361,ON
2018,806.3912583,0.721153846,0.240384615,QC
2011,507.7254539,0.766908866,0.511272577,ON
2008,529.8494716,1.673145175,1.014027379,ON
2011,454.5333133,0.461667599,0.279798545,SK
2007,560.7918504,1.444427551,0.722213775,ON
2015,519.0271076,2.28105163,1.140525815,QC
2016,358.8290798,1.140122243,0.518237383,QC
2006,411.0918631,0.78313253,1.204819277,ON
2015,868.265919,2.875599083,1.250260471,NS
2013,641.4404594,0.619551681,0.311332503,NS
2014,542.1920242,0.820674,0.349222979,QC
2015,576.9666053,2.634178466,0.878059489,QC
2012,441.3424747,1.834483707,0.917241854,QC
2014,521.579503,2.447441606,1.159959077,QC
2017,481.1842931,1.586671956,0.793335978,ON
2017,476.7584298,1.349649091,0.44988303,BC
2001,335.5211358,0.645930637,0.496869721,AB
2014,454.5305434,0.926595641,0.488710781,ON
2010,352.8346534,1.185656449,0.578368999,QC
2016,457.4976801,1.428571429,0.714285714,ON
2006,303.2966773,3.607614369,2.405076246,AB
2014,237.5863015,1.184834123,0.394944708,ON
