Year,Province,WindClass,Capacity
2008,ON,3,9.9
2007,ON,3,76
2006,ON,2,0.65
2017,ON,3,8
2014,ON,3,9.48
2016,ON,3,10
2014,ON,2,30
2014,ON,3,270
2014,ON,4,8.2
2015,ON,3,34.5
2017,ON,3,10.25
2013,ON,2,124.38
2015,ON,3,39.98
2010,ON,4,98.9
2009,ON,2,90
1995,ON,3,0.6
2009,ON,3,181.5
2016,ON,3,9
2012,ON,3,10
2015,ON,3,6.15
2009,ON,3,197.8
2010,ON,3,0.8
2008,PEI,6,3
2007,PEI,4,30
2009,PEI,4,12
2001,PEI,6,5.28
2004,PEI,6,5.28
2007,PEI,5,19.8
2009,PEI,5,79.2
2013,PEI,6,10
2007,PEI,5,9
2014,PEI,2,30
2007,QC,4,100.5
2006,QC,3,109.5
2008,QC,4,109.5
2013,QC,7,23.5
2013,QC,5,100
2013,QC,3,135.7
2014,QC,3,21.15
2015,QC,5,24
2012,QC,6,211.5
2009,QC,3,133.5
2014,QC,2,24.6
2013,QC,4,300
2014,QC,3,24.6
1999,QC,3,42.75
1999,QC,3,56.25
2014,QC,5,159.75
2013,QC,4,150
2016,QC,3,149.25
2005,QC,6,56
2011,QC,6,100.5
2005,QC,7,54
2018,QC,5,143
2011,QC,4,58.5
2012,QC,3,101.2
2015,QC,6,74
2012,QC,2,67.8
2018,QC,2,224.25
2016,QC,2,24.6
2018,QC,4,6
2015,QC,4,350
2016,QC,3,74.8
2014,QC,2,23.5
2015,QC,6,24
2012,QC,4,80
2014,QC,6,339.7
2010,QC,4,4.1
2015,QC,5,75.2
2014,QC,2,101.05
2014,QC,2,24.6
2006,SK,4,149.4
2013,SK,2,0.8
2003,SK,5,10.56
2015,SK,3,23
2011,SK,3,26.4
2001,SK,4,11.22
2019,SK,3,20
